"","speaker","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","32","33","34","35","36","37","38"
"1","leander","X","","","","","X","","","X","X","X","X","X","X","","X","X","X","X","X","","","","","","","","","","","","","X","","X","X","X"
"2","drengen","X","","","","","","","","X","","","","","","","","X","","","","","","","","","","","","","","","","","","","",""
"3","den fremmede person","","X","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4","kællingen","","","X","X","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5","manden","","","X","X","X","","","X","","","","","","","","","X","","","","","","","","","","","","","","","","","","","X",""
"6","1. pige","","","","","X","","","","","","","","X","","","","X","","","","","","","","","","","","","","","","","","","",""
"7","2. pige","","","","","X","","","","","","","","X","","","","","","","","","","","","","","","","","","","","","","","",""
"8","henrik","","","","","","X","","","","","X","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9","manden i portechaisen","","","","","","","X","X","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"10","1. mand","","","","","","","","X","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"11","en anden dreng","","","","","","","","","X","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"12","anføreren","","","","","","","","","","X","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"13","lars","","","","","","","","","","X","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"14","en gårdskarl","","","","","","","","","","","","","","","X","","","","","","","","","","","","","","","","","","","","","",""
"15","arv","","","","","","","","","","","","","","","","X","","","","","","","","","","","","","","","","","","","","",""
"16","en mand","","","","","","","","","","","","","","","","","X","","","","","","","","","","","","","","","","","","","",""
"17","fruen","","","","","","","","","","","","","","","","","","X","","","","","","","","","","","","","","","","","","",""
"18","tyven","","","","","","","","","","","","","","","","","","X","","","","","","","","","","","","","","","","","","",""
"19","værten","","","","","","","","","","","","","","","","","","","","X","","X","X","","","","","","","","","","","","","",""
"20","herren","","","","","","","","","","","","","","","","","","","","","X","X","X","","","","","","","","","","","","","",""
"21","1. vagt","","","","","","","","","","","","","","","","","","","","","","","X","","","","","","","","","","","","","",""
"22","2. vagt","","","","","","","","","","","","","","","","","","","","","","","X","","","","","","","","","","","","","",""
"23","terentia","","","","","","","","","","","","","","","","","","","","","","","","X","","","","","","","","","","","","",""
"24","apelone","","","","","","","","","","","","","","","","","","","","","","","","X","X","X","X","X","X","","","","","","","",""
"25","lucretia","","","","","","","","","","","","","","","","","","","","","","","","","X","","","","","","","","","","","",""
"26","jean","","","","","","","","","","","","","","","","","","","","","","","","","","X","","","","","","","","","","",""
"27","herman","","","","","","","","","","","","","","","","","","","","","","","","","","","X","","","","","","","","","",""
"28","von qvoten","","","","","","","","","","","","","","","","","","","","","","","","","","","","X","","","","","","","","",""
"29","1. komediant","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","X","X","X","","X","X","X",""
"30","2. komediant","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","X","X","","","","X","",""
"31","to drenge","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","X","","","","","",""
"32","1. soldat","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","X","","","","",""
"33","2. soldat","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","X","","","","",""
"34","dommeren","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","X","X","X","X",""
"35","skriveren","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","X","","","X","X"
"36","betjenten","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","X","","X","X",""
"37","mester herman","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","X",""
"38","en person","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","X",""
"39","de 2 komedianter","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","X",""
"40","anklageren","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","X",""
"41","moderen","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","X"
"42","kæresten","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","X"
