"","speaker","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27"
"1","nille","X","X","","","","","","","","","","","","","","","X","X","X","","","X","","","","",""
"2","jeppe","","X","X","X","X","X","X","","X","X","X","X","X","X","","X","X","","","X","X","X","X","X","X","X",""
"3","jacob","","","","X","","X","","","","","","","","","","","","","","","","","","","X","X",""
"4","baronen","","","","","","","","X","","","","","","","X","","","","","","","","","","","","X"
"5","sekretæren","","","","","","","","X","","","","X","X","","","","","","","","","","","","","",""
"6","lakaj","","","","","","","","X","","X","","","","","","","","","","","","","","","","",""
"7","kammertjener","","","","","","","","X","","X","X","X","X","","","","","","","","","","","","","",""
"8","erik lakaj","","","","","","","","X","","X","","","","","X","","","","","","","","","","","","X"
"9","1. doktor","","","","","","","","","","","X","","","","","","","","","","","","","","","",""
"10","2. doktor","","","","","","","","","","","X","","","","","","","","","","","","","","","",""
"11","doktor","","","","","","","","","","","X","","","","","","","","","","","","","","","",""
"12","ridefogeden","","","","","","","","","","","","","X","X","","","","","","","","","","","","",""
"13","konen","","","","","","","","","","","","","","X","","","","","","","","","","","","",""
"14","3 mænd","","","","","","","","","","","","","","","","","","","X","X","","","","","","",""
"15","dommeren","","","","","","","","","","","","","","","","","","","","","X","X","X","","","",""
"16","1. advokat/anklageren","","","","","","","","","","","","","","","","","","","","","X","","","","","",""
"17","2. advokat","","","","","","","","","","","","","","","","","","","","","X","","","","","",""
"18","magnus","","","","","","","","","","","","","","","","","","","","","","","","","","X",""
