"","speaker","1","2","3","4","5","6","7","8","9","10","11","12","13"
"1","leonora","X","X","X","X","X","X","","","","","","X","X"
"2","pernille","","X","","X","","","","X","X","","","X","X"
"3","leander","","","X","","","","","","","","","","X"
"4","jeronimus","","","","","X","","X","","","X","X","X","X"
"5","magdelone","","","","","","","X","X","X","X","X","",""
"6","arv","","","","","","","","","X","X","","X",""
"7","skolemesteren","","","","","","","","","","","","X",""
"8","tutti","","","","","","","","","","","","X",""
"9","børnene","","","","","","","","","","","","X",""
"10","christopher","","","","","","","","","","","","X",""
"11","henning","","","","","","","","","","","","X",""
"12","per","","","","","","","","","","","","X",""
"13","else","","","","","","","","","","","","X",""
"14","marie","","","","","","","","","","","","X",""
"15","anne","","","","","","","","","","","","X",""
"16","værten","","","","","","","","","","","","","X"
"17","leanders vært","","","","","","","","","","","","","X"
"18","vægterne","","","","","","","","","","","","","X"
