"","speaker","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32"
"1","leander","X","X","X","X","","","X","","","X","","","","X","X","","","X","","","X","","","","","","","","","","X","X"
"2","henrik","X","X","X","X","X","","","","X","X","X","X","X","X","X","","X","X","","","","","","X","X","X","X","X","","","","X"
"3","arv","","X","","","","","","X","","","X","X","","","","","","","","","","","","","","X","","X","","","",""
"4","magdelone","","","X","X","X","X","","","","","","","","","","","","","","","","","","","","","","X","","","",""
"5","jeronimus","","","","X","X","X","X","X","","","","X","X","X","","X","X","X","X","","","","X","","X","X","","X","","X","X","X"
"6","konen","","","","","X","X","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7","en karl","","","","","","X","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8","leonard","","","","","","","","","","","","","X","X","","X","","","","","","X","X","","","","","","X","X","X","X"
"9","leonora","","","","","","","","","","","","","","","","","","","","X","X","X","","","","","","","","","X","X"
"10","pernille","","","","","","","","","","","","","","","","","","","","X","X","X","","","","X","X","","","","","X"
"11","en dreng","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","X","",""
