"","speaker","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22"
"1","jeronimus","X","X","X","X","X","","","","","","X","X","X","","","","","","","X","X","X"
"2","gottard","","X","","","","","","","","","","","","","","","","","","","",""
"3","leonore","","","","X","","X","X","X","X","","","X","X","","","","X","X","","","X",""
"4","leonard","","","","","X","","X","","","","","","","","","X","X","","X","X","X",""
"5","magdelone","","","","","X","","X","","","","X","","X","","","X","X","","X","X","X","X"
"6","pernille","","","","","","X","X","X","X","","","X","","","","","X","X","X","","X","X"
"7","henrik","","","","","","","","X","X","X","","","","X","X","X","X","","X","X","X","X"
"8","leander","","","","","","","","","X","","","","","","","","","","","","X","X"
"9","1. gaudieb","","","","","","","","","","","","","","","X","","","","","","",""
"10","2. gaudieb","","","","","","","","","","","","","","","X","","","","","","",""
"11","3. gaudieb","","","","","","","","","","","","","","","X","","","","","","",""
"12","notarius","","","","","","","","","","","","","","","","","","","X","","","X"
"13","lucie","","","","","","","","","","","","","","","","","","","","","","X"
