"","speaker","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17"
"1","sganarel","X","X","X","X","X","X","X","X","X","","X","X","X","X","","","X"
"2","filosoffen","","X","X","X","X","","X","","","","","","","","","X",""
"3","astrologus","","","","","","X","","","","","","","","","","",""
"4","leander","","","","","","","","X","X","","X","X","X","X","","","X"
"5","1. kvinde","","","","","","","","","X","X","","","","","","","X"
"6","2. kvinde","","","","","","","","","X","X","","","","","","","X"
"7","3. kvinde","","","","","","","","","X","","","X","","X","","","X"
"8","polyphemus","","","","","","","","","","","","","","X","","X","X"
"9","doktoren","","","","","","","","","","","","","","","X","X",""
"10","1. filosof","","","","","","","","","","","","","","","X","X",""
"11","2. filosof","","","","","","","","","","","","","","","X","X",""
"12","3. filosof","","","","","","","","","","","","","","","X","X",""
"13","tutti","","","","","","","","","","","","","","","","X",""
