"","speaker","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37"
"1","vulcanus","X","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2","sganarel","X","X","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3","apollo","","X","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4","jupiter","","X","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5","momus","","X","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","eleonora","","","X","X","","","","","","","","","","","","","","","","","","","","","","","X","","X","","","","","","","X"
"7","ovidius","","","X","","","","X","X","X","X","X","X","","","","","","","","","","","","","X","X","","","X","X","X","","X","X","","X"
"8","pernille","","","X","X","X","X","X","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9","leander","","","","X","","","","X","","","","","X","","","","X","","","X","X","X","X","","","X","","X","","X","","","X","X","","X"
"10","roland","","","","","X","X","X","X","X","X","","X","","","","X","","","","","","","X","X","","","","","","","","","","","","X"
"11","haagen","","","","","","X","X","X","","","","","","","X","X","","","X","X","X","","","","","","","","","","","","","","","X"
"12","marthe","","","","","","","","","","","X","","","","","","","","","","","","","","","","","","","","X","X","","X","X","X"
"13","henrik","","","","","","","","","","","","","","X","X","","X","X","X","","X","","","X","","","","","","","","","","","","X"
"14","gunnild","","","","","","","","","","","","","","","","","","","","","","","","","","","","X","","","","X","","","","X"
"15","gejsten","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","X"
